"verb","variety","corpus","genre","year","transitivity","negation","interpretator","interpretator_type","complementizer","year_bins_20","year_bins_40","year_bins_100","macro_genre","AmE_c","interpretator_present","year_c"
"delude","AmE","W90-92","News",1991,"reflexive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.18
"delude","AmE","W90-92","News",1991,"reflexive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.18
"delude","AmE","W90-92","News",1991,"reflexive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.18
"delude","AmE","W90-92","News",1991,"reflexive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.18
"delude","AmE","W90-92","News",1991,"reflexive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.18
"delude","AmE","W90-92","News",1991,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.18
"delude","AmE","W90-92","News",1991,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.18
"delude","AmE","W90-92","News",1991,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.18
"delude","AmE","W90-92","News",1991,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.18
"delude","AmE","W90-92","News",1991,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.18
"delude","AmE","W90-92","News",1991,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.18
"delude","AmE","W90-92","News",1991,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.18
"delude","AmE","N01","News",2001,"passive","n","into thinking","verbal","y","2000-2020","1980-2020","1950-2020","non-fiction",1,1,0.02
"delude","AmE","N01","News",2001,"passive","n","into thinking","verbal","n","2000-2020","1980-2020","1950-2020","non-fiction",1,1,0.02
"delude","AmE","N01","News",2001,"passive","n","into believing","verbal","y","2000-2020","1980-2020","1950-2020","non-fiction",1,1,0.02
"delude","AmE","N01","News",2001,"passive","n","into believing","verbal","y","2000-2020","1980-2020","1950-2020","non-fiction",1,1,0.02
"delude","AmE","N01","News",2001,"reflexive","n","into thinking","verbal","y","2000-2020","1980-2020","1950-2020","non-fiction",1,1,0.02
"delude","AmE","N01","News",2001,"reflexive","n","into thinking","verbal","y","2000-2020","1980-2020","1950-2020","non-fiction",1,1,0.02
"delude","AmE","N01","News",2001,"reflexive","n","into thinking","verbal","y","2000-2020","1980-2020","1950-2020","non-fiction",1,1,0.02
"delude","AmE","N01","News",2001,"reflexive","n","into thinking","verbal","y","2000-2020","1980-2020","1950-2020","non-fiction",1,1,0.02
"delude","AmE","N01","News",2001,"reflexive","n","into thinking","verbal","n","2000-2020","1980-2020","1950-2020","non-fiction",1,1,0.02
"delude","AmE","N01","News",2001,"reflexive","n","into thinking","verbal","n","2000-2020","1980-2020","1950-2020","non-fiction",1,1,0.02
"delude","AmE","N01","News",2001,"reflexive","y","into thinking","verbal","n","2000-2020","1980-2020","1950-2020","non-fiction",1,1,0.02
"delude","AmE","N01","News",2001,"reflexive","y","into thinking","verbal","n","2000-2020","1980-2020","1950-2020","non-fiction",1,1,0.02
"delude","AmE","N01","News",2001,"reflexive","y","into thinking","verbal","n","2000-2020","1980-2020","1950-2020","non-fiction",1,1,0.02
"delude","AmE","N01","News",2001,"reflexive","n","into believing","verbal","y","2000-2020","1980-2020","1950-2020","non-fiction",1,1,0.02
"delude","AmE","N01","News",2001,"reflexive","n","into believing","verbal","y","2000-2020","1980-2020","1950-2020","non-fiction",1,1,0.02
"delude","AmE","N01","News",2001,"reflexive","n","in their belief","nominal","y","2000-2020","1980-2020","1950-2020","non-fiction",1,1,0.02
"delude","AmE","N01","News",2001,"reflexive","y","none","none","y","2000-2020","1980-2020","1950-2020","non-fiction",1,0,0.02
"delude","AmE","N01","News",2001,"reflexive","y","none","none","y","2000-2020","1980-2020","1950-2020","non-fiction",1,0,0.02
"delude","AmE","N01","News",2001,"reflexive","n","none","none","y","2000-2020","1980-2020","1950-2020","non-fiction",1,0,0.02
"delude","AmE","N01","News",2001,"reflexive","n","none","none","y","2000-2020","1980-2020","1950-2020","non-fiction",1,0,0.02
"delude","AmE","D92-95","News",1993.5,"transitive","y","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"delude","AmE","D92-95","News",1993.5,"transitive","n","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"delude","AmE","D92-95","News",1993.5,"transitive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"delude","AmE","D92-95","News",1993.5,"transitive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"delude","AmE","D92-95","News",1993.5,"transitive","n","into believing","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"delude","AmE","D92-95","News",1993.5,"transitive","n","into believing","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"delude","AmE","D92-95","News",1993.5,"transitive","n","into believing","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"delude","AmE","D92-95","News",1993.5,"transitive","n","into believing","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"delude","AmE","D92-95","News",1993.5,"transitive","n","into believing","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"delude","AmE","D92-95","News",1993.5,"transitive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.13
"delude","AmE","D92-95","News",1993.5,"passive","y","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"delude","AmE","D92-95","News",1993.5,"passive","y","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"delude","AmE","D92-95","News",1993.5,"reflexive","n","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"delude","AmE","D92-95","News",1993.5,"reflexive","n","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"delude","AmE","D92-95","News",1993.5,"reflexive","n","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"delude","AmE","D92-95","News",1993.5,"reflexive","y","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"delude","AmE","D92-95","News",1993.5,"reflexive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"delude","AmE","D92-95","News",1993.5,"reflexive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"delude","AmE","D92-95","News",1993.5,"reflexive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"delude","AmE","D92-95","News",1993.5,"reflexive","n","into believing","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"delude","AmE","D92-95","News",1993.5,"reflexive","n","into believing","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"delude","AmE","D92-95","News",1993.5,"reflexive","n","into believing","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"delude","AmE","D92-95","News",1993.5,"reflexive","n","to think","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"delude","AmE","D92-95","News",1993.5,"reflexive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.13
"delude","AmE","D92-95","News",1993.5,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.13
"delude","AmE","D92-95","News",1993.5,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.13
"delude","AmE","L92-93","News",1992.5,"transitive","y","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"transitive","y","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"transitive","y","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"transitive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"transitive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"transitive","n","into believing","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"passive","n","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"passive","y","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"passive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"passive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"passive","n","into believing","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"passive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","y","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","y","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","y","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","y","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","y","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","y","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","y","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","y","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","y","into believing","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","n","into believing","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","n","into believing","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","y","into imagining","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","n","with the illusion","nominal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.15
"delude","AmE","L92-93","News",1992.5,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.15
"delude","AmE","L94-95","News",1994.5,"transitive","n","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.11
"delude","AmE","L94-95","News",1994.5,"transitive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.11
"delude","AmE","L94-95","News",1994.5,"transitive","n","into believing","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.11
"delude","AmE","L94-95","News",1994.5,"transitive","n","into believing","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.11
"delude","AmE","L94-95","News",1994.5,"passive","n","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.11
"delude","AmE","L94-95","News",1994.5,"passive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.11
"delude","AmE","L94-95","News",1994.5,"passive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.11
"delude","AmE","L94-95","News",1994.5,"reflexive","y","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.11
"delude","AmE","L94-95","News",1994.5,"reflexive","y","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.11
"delude","AmE","L94-95","News",1994.5,"reflexive","n","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.11
"delude","AmE","L94-95","News",1994.5,"reflexive","n","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.11
"delude","AmE","L94-95","News",1994.5,"reflexive","y","into believing","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.11
"delude","AmE","L94-95","News",1994.5,"reflexive","n","into believing","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.11
"delude","AmE","L94-95","News",1994.5,"reflexive","n","into believing","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.11
"delude","AmE","L94-95","News",1994.5,"reflexive","n","into believing","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.11
"delude","AmE","L94-95","News",1994.5,"reflexive","n","to think","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.11
"delude","AmE","L94-95","News",1994.5,"reflexive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.11
"delude","AmE","L94-95","News",1994.5,"reflexive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.11
"delude","AmE","L94-95","News",1994.5,"reflexive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.11
"delude","AmE","L94-95","News",1994.5,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.11
"delude","AmE","L94-95","News",1994.5,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.11
"delude","AmE","L94-95","News",1994.5,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.11
"delude","AmE","L94-95","News",1994.5,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.11
"delude","AmE","L96-97","News",1996.5,"transitive","n","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.07
"delude","AmE","L96-97","News",1996.5,"transitive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.07
"delude","AmE","L96-97","News",1996.5,"passive","y","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.07
"delude","AmE","L96-97","News",1996.5,"passive","n","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.07
"delude","AmE","L96-97","News",1996.5,"passive","n","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.07
"delude","AmE","L96-97","News",1996.5,"passive","n","into believing","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.07
"delude","AmE","L96-97","News",1996.5,"reflexive","y","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.07
"delude","AmE","L96-97","News",1996.5,"reflexive","n","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.07
"delude","AmE","L96-97","News",1996.5,"reflexive","y","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.07
"delude","AmE","L96-97","News",1996.5,"reflexive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.07
"delude","AmE","L96-97","News",1996.5,"reflexive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.07
"delude","AmE","L96-97","News",1996.5,"reflexive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.07
"delude","AmE","L96-97","News",1996.5,"reflexive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.07
"delude","AmE","L96-97","News",1996.5,"reflexive","n","into believing","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.07
"delude","AmE","L96-97","News",1996.5,"reflexive","n","into believing","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.07
"delude","AmE","L96-97","News",1996.5,"reflexive","n","into believing","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.07
"delude","AmE","L96-97","News",1996.5,"reflexive","n","into believing","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.07
"delude","AmE","L96-97","News",1996.5,"reflexive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.07
"delude","AmE","L96-97","News",1996.5,"reflexive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.07
"delude","AmE","L96-97","News",1996.5,"reflexive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.07
"delude","AmE","L96-97","News",1996.5,"reflexive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.07
"delude","AmE","L96-97","News",1996.5,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.07
"delude","AmE","L96-97","News",1996.5,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.07
"delude","AmE","L96-97","News",1996.5,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.07
"delude","AmE","L96-97","News",1996.5,"reflexive","y","none","none","n","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.07
"delude","AmE","L98-99","News",1998.5,"transitive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.03
"delude","AmE","L98-99","News",1998.5,"transitive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.03
"delude","AmE","L98-99","News",1998.5,"passive","y","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.03
"delude","AmE","L98-99","News",1998.5,"passive","y","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.03
"delude","AmE","L98-99","News",1998.5,"passive","y","into believing","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.03
"delude","AmE","L98-99","News",1998.5,"passive","n","into believing","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.03
"delude","AmE","L98-99","News",1998.5,"reflexive","y","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.03
"delude","AmE","L98-99","News",1998.5,"reflexive","n","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.03
"delude","AmE","L98-99","News",1998.5,"reflexive","y","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.03
"delude","AmE","L98-99","News",1998.5,"reflexive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.03
"delude","AmE","L98-99","News",1998.5,"reflexive","y","into believing","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.03
"delude","AmE","L98-99","News",1998.5,"reflexive","y","into believing","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.03
"delude","AmE","L98-99","News",1998.5,"reflexive","n","into believing","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.03
"delude","AmE","L98-99","News",1998.5,"reflexive","n","into believing","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.03
"delude","AmE","L98-99","News",1998.5,"reflexive","n","into believing","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.03
"delude","AmE","L98-99","News",1998.5,"reflexive","y","to think","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.03
"delude","AmE","L98-99","News",1998.5,"reflexive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.03
"delude","AmE","L98-99","News",1998.5,"reflexive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.03
"delude","AmE","L98-99","News",1998.5,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.03
"delude","AmE","L98-99","News",1998.5,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.03
"delude","AmE","L98-99","News",1998.5,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.03
"delude","AmE","L98-99","News",1998.5,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.03
"delude","AmE","L98-99","News",1998.5,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.03
"delude","AmE","L98-99","News",1998.5,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.03
"delude","AmE","L98-99","News",1998.5,"reflexive","n","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.03
"deceive","AmE","D92-95","News",1993.5,"transitive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"deceive","AmE","D92-95","News",1993.5,"transitive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"deceive","AmE","D92-95","News",1993.5,"transitive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"deceive","AmE","D92-95","News",1993.5,"transitive","y","into believing","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"deceive","AmE","D92-95","News",1993.5,"transitive","n","into believing","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"deceive","AmE","D92-95","News",1993.5,"transitive","n","into believing","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"deceive","AmE","D92-95","News",1993.5,"transitive","n","into believing","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"deceive","AmE","D92-95","News",1993.5,"transitive","n","into believing","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"deceive","AmE","D92-95","News",1993.5,"transitive","y","none","none","y","1980-2000","1980-2020","1950-2020","non-fiction",1,0,-0.13
"deceive","AmE","D92-95","News",1993.5,"transitive","n","to believe","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"deceive","AmE","D92-95","News",1993.5,"passive","y","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"deceive","AmE","D92-95","News",1993.5,"passive","y","into thinking","verbal","y","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
"deceive","AmE","D92-95","News",1993.5,"passive","n","into thinking","verbal","n","1980-2000","1980-2020","1950-2020","non-fiction",1,1,-0.13
